Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-02-01 00:00,4179864,5.15,5.5,2.25,4.68,2.44,2.54,0.63,0.0,0.0,4.2,0.0,0.0,0.0,"79,264",0.352,2.51,1.583
2024-02-02 00:00,3334748,5.11,5.95,2.29,4.68,2.39,2.49,0.66,0.0,0.0,4.16,0.0,0.0,0.0,"65,776",0.352,2.34,1.537
2024-02-03 00:00,4333827,4.88,5.78,2.19,4.51,2.32,2.42,0.64,0.0,0.0,3.99,0.0,0.0,0.0,"89,304",0.352,2.33,1.523
2024-02-04 00:00,4097561,4.84,5.71,2.23,4.55,2.27,2.37,0.64,0.0,0.0,3.93,0.0,0.0,0.0,"79,778",0.336,2.17,1.526
2024-02-05 00:00,2939621,5.09,5.84,2.33,4.72,2.36,2.47,0.68,0.0,0.0,4.12,0.0,0.0,0.0,"55,380",0.336,2.13,1.48
2024-02-06 00:00,2833647,5.03,5.83,2.34,4.75,2.35,2.46,0.68,0.0,0.0,4.06,0.0,0.0,0.0,"55,898",0.336,2.12,1.459
2024-02-07 00:00,2880798,5.09,5.89,2.36,4.75,2.4,2.5,0.68,0.0,0.0,4.11,0.0,0.0,0.0,"54,875",0.336,2.13,1.457
2024-02-08 00:00,2999162,5.04,5.84,2.38,4.75,2.39,2.5,0.69,0.0,0.0,4.04,0.0,0.0,0.0,"53,497",0.336,2.12,1.451
2024-02-09 00:00,3369397,5.19,5.97,2.29,4.66,2.46,2.57,0.67,0.0,0.0,4.21,0.0,0.0,0.0,"68,804",0.344,2.35,1.472
2024-02-10 00:00,4423534,5.03,5.79,2.19,4.52,2.39,2.49,0.63,0.0,0.0,4.11,0.0,0.0,0.0,"83,328",0.344,2.35,1.458
2024-02-11 00:00,3573085,4.93,5.69,2.26,4.57,2.34,2.44,0.65,0.0,0.0,3.98,0.0,0.0,0.0,"69,852",0.336,2.2,1.426
2024-02-12 00:00,2777832,5.16,5.83,2.38,4.74,2.42,2.52,0.69,0.0,0.0,4.17,0.0,0.0,0.0,"50,308",0.328,2.19,1.448
2024-02-13 00:00,2951151,5.15,5.87,2.43,4.86,2.48,2.58,0.77,0.0,0.0,4.09,0.0,0.0,0.0,"43,523",0.328,2.2,1.465
2024-02-14 00:00,2684509,5.28,6.02,2.48,4.93,2.55,2.66,0.83,0.0,0.0,4.16,0.0,0.0,0.0,"39,608",0.328,2.19,1.48
2024-02-15 00:00,3774192,5.14,5.83,2.31,4.63,2.51,2.6,0.75,0.0,0.0,4.03,0.0,0.0,0.0,"50,018",0.32,2.11,1.442
2024-02-16 00:00,3142733,5.43,6.08,2.49,4.92,2.61,2.72,0.83,0.0,0.0,4.29,0.0,0.0,0.0,"43,807",0.336,2.23,1.45
2024-02-17 00:00,4193563,5.15,5.84,2.39,4.72,2.47,2.57,0.78,0.0,0.0,4.08,0.0,0.0,0.0,"64,154",0.328,2.08,1.46
2024-02-18 00:00,4561268,5.24,6.07,2.33,4.7,2.51,2.61,0.77,0.0,0.0,4.19,0.0,0.0,0.0,"60,562",0.336,2.36,1.498
2024-02-19 00:00,4111181,5.37,6.11,2.36,4.78,2.56,2.66,0.78,0.0,0.0,4.3,0.0,0.0,0.0,"58,106",0.352,2.44,1.499
2024-02-20 00:00,2888731,5.49,6.13,2.49,4.97,2.57,2.69,0.81,0.0,0.0,4.38,0.0,0.0,0.0,"42,112",0.344,2.23,1.478
2024-02-21 00:00,3031335,5.53,6.21,2.49,5.02,2.63,2.75,0.8,0.0,0.0,4.4,0.0,0.0,0.0,"44,902",0.344,2.23,1.464
2024-02-22 00:00,2978045,5.56,6.29,2.51,5.0,2.68,2.79,0.81,0.0,0.0,4.43,0.0,0.0,0.0,"41,330",0.36,2.27,1.454
2024-02-23 00:00,3168149,5.5,6.24,2.48,4.95,2.67,2.78,0.81,0.0,0.0,4.38,0.0,0.0,0.0,"43,257",0.36,2.32,1.441
2024-02-24 00:00,4014575,5.33,6.13,2.41,4.88,2.6,2.71,0.79,0.0,0.0,4.25,0.0,0.0,0.0,"55,707",0.352,2.23,1.458
2024-02-25 00:00,5065075,5.26,6.14,2.29,4.73,2.57,2.67,0.74,0.0,0.0,4.24,0.0,0.0,0.0,"71,587",0.368,2.53,1.499
2024-02-26 00:00,3235708,5.45,6.15,2.44,4.96,2.61,2.72,0.78,0.0,0.0,4.35,0.0,0.0,0.0,"46,069",0.352,2.31,1.483
2024-02-27 00:00,3109857,5.36,6.04,2.38,4.86,2.59,2.7,0.78,0.0,0.0,4.27,0.0,0.0,0.0,"42,799",0.32,2.03,1.511
2024-02-28 00:00,3246877,5.29,5.96,2.34,4.8,2.56,2.67,0.76,0.0,0.0,4.19,0.0,0.0,0.0,"46,068",0.312,1.95,1.501
2024-02-29 00:00,3351355,5.32,6.01,2.36,4.78,2.57,2.68,0.75,0.0,0.0,4.22,0.0,0.0,0.0,"45,760",0.304,1.93,1.501
2024-03-01 00:00,3507360,5.5,6.09,2.37,4.76,2.68,2.78,0.79,0.0,0.0,4.39,0.0,0.0,0.0,"43,345",0.312,2.02,1.473
2024-03-02 00:00,4335683,5.11,5.87,2.26,4.63,2.51,2.61,0.74,0.0,0.0,4.07,0.0,0.0,0.0,"54,419",0.304,1.9,1.484
2024-03-03 00:00,4727744,4.99,5.84,2.21,4.51,2.46,2.56,0.72,0.0,0.0,3.97,0.0,0.0,0.0,"58,975",0.304,1.97,1.5
2024-03-04 00:00,3240669,5.26,6.0,2.35,4.75,2.56,2.67,0.78,0.0,0.0,4.17,0.0,0.0,0.0,"41,424",0.304,1.98,1.508
2024-03-05 00:00,3196638,5.23,5.95,2.34,4.74,2.55,2.66,0.77,0.0,0.0,4.14,0.0,0.0,0.0,"71,842",0.304,1.93,1.501
2024-03-06 00:00,3836025,5.4,6.16,2.27,4.7,2.65,2.75,0.75,0.0,0.0,4.34,0.0,0.0,0.0,"100,005",0.312,2.2,1.535
2024-03-07 00:00,3231913,5.24,5.98,2.32,4.79,2.58,2.68,0.77,0.0,0.0,4.16,0.0,0.0,0.0,"88,132",0.304,1.94,1.46
2024-03-08 00:00,3281911,5.28,6.04,2.31,4.82,2.63,2.73,0.78,0.0,0.0,4.18,0.0,0.0,0.0,"88,296",0.304,1.96,1.376
2024-03-09 00:00,4350211,5.05,5.9,2.23,4.68,2.53,2.62,0.76,0.0,0.0,3.99,0.0,0.0,0.0,"116,908",0.296,1.89,1.4
2024-03-10 00:00,4339167,4.95,5.83,2.19,4.64,2.46,2.56,0.74,0.0,0.0,3.93,0.0,0.0,0.0,"114,590",0.296,1.9,1.419
2024-03-11 00:00,3359502,5.24,6.05,2.33,4.92,2.57,2.68,0.77,0.0,0.0,4.14,0.0,0.0,0.0,"53,497",0.304,1.92,1.426
2024-03-12 00:00,3295030,5.22,6.07,2.36,4.97,2.6,2.7,0.78,0.0,0.0,4.11,0.0,0.0,0.0,"43,264",0.304,1.94,1.428
2024-03-13 00:00,4036400,5.29,6.26,2.21,4.77,2.63,2.73,0.74,0.0,0.0,4.25,0.0,0.0,0.0,"53,681",0.32,2.27,1.451
2024-03-14 00:00,3225868,5.17,6.04,2.33,4.86,2.58,2.69,0.79,0.0,0.0,4.07,0.0,0.0,0.0,"42,217",0.312,1.99,1.4
2024-03-15 00:00,3324751,5.09,5.97,2.3,4.8,2.56,2.66,0.78,0.0,0.0,4.0,0.0,0.0,0.0,"43,195",0.304,1.94,1.379
2024-03-16 00:00,4197062,4.96,5.9,2.21,4.62,2.5,2.6,0.75,0.0,0.0,3.9,0.0,0.0,0.0,"53,251",0.304,1.92,1.387
2024-03-17 00:00,4316804,4.83,5.81,2.23,4.65,2.47,2.56,0.77,0.0,0.0,3.78,0.0,0.0,0.0,"53,941",0.296,1.89,1.404
2024-03-18 00:00,3256172,4.99,5.87,2.34,4.87,2.55,2.65,0.81,0.0,0.0,3.9,0.0,0.0,0.0,"42,372",0.304,1.93,1.284
2024-03-19 00:00,4214392,4.85,5.78,2.15,4.66,2.48,2.57,0.71,0.0,0.0,3.8,0.0,0.0,0.0,"50,772",0.304,1.92,1.257
2024-03-20 00:00,3338786,5.01,5.92,2.31,4.84,2.58,2.68,0.77,0.0,0.0,3.9,0.0,0.0,0.0,"43,302",0.304,2.01,1.264
2024-03-21 00:00,3092492,4.94,5.86,2.29,4.8,2.54,2.63,0.75,0.0,0.0,3.85,0.0,0.0,0.0,"39,748",0.304,1.97,1.256
2024-03-22 00:00,3715396,5.09,6.08,2.25,4.78,2.61,2.71,0.77,0.0,0.0,4.02,0.0,0.0,0.0,"47,573",0.32,2.2,1.277
2024-03-23 00:00,4489042,4.91,5.91,2.2,4.68,2.51,2.6,0.77,0.0,0.0,3.85,0.0,0.0,0.0,"57,136",0.312,2.11,1.29
2024-03-24 00:00,4936247,4.84,5.87,2.18,4.67,2.5,2.59,0.76,0.0,0.0,3.82,0.0,0.0,0.0,"67,022",0.312,2.15,1.296
2024-03-25 00:00,3214319,4.98,5.83,2.34,4.92,2.55,2.65,0.79,0.0,0.0,3.9,0.0,0.0,0.0,"42,392",0.304,1.95,1.258
2024-03-26 00:00,3502553,4.86,5.79,2.33,4.89,2.5,2.6,0.77,0.0,0.0,3.8,0.0,0.0,0.0,"45,123",0.312,1.98,1.268
2024-03-27 00:00,3326742,5.0,5.93,2.37,4.95,2.58,2.68,0.81,0.0,0.0,3.89,0.0,0.0,0.0,"42,424",0.312,2.03,1.272
2024-03-28 00:00,3351354,5.0,5.93,2.38,4.94,2.6,2.69,0.82,0.0,0.0,3.88,0.0,0.0,0.0,"45,938",0.32,1.99,1.265
2024-03-29 00:00,3916909,4.94,5.88,2.32,4.82,2.58,2.68,0.79,0.0,0.0,3.85,0.0,0.0,0.0,"53,527",0.32,2.03,1.245
2024-03-30 00:00,4088216,4.91,5.88,2.3,4.81,2.56,2.66,0.79,0.0,0.0,3.83,0.0,0.0,0.0,"55,407",0.312,1.97,1.254
2024-03-31 00:00,3386745,4.94,5.95,2.31,4.87,2.58,2.68,0.82,0.0,0.0,3.85,0.0,0.0,0.0,"47,609",0.312,2.05,1.286
2024-04-01 00:00,3534551,5.07,6.0,2.35,4.84,2.64,2.74,0.82,0.0,0.0,3.95,0.0,0.0,0.0,"46,567",0.312,2.08,1.181
2024-04-02 00:00,3372505,5.13,6.06,2.38,4.87,2.65,2.75,0.85,0.0,0.0,3.98,0.0,0.0,0.0,"46,551",0.304,2.07,1.128
2024-04-03 00:00,3321885,5.19,6.13,2.42,4.94,2.7,2.8,0.86,0.0,0.0,4.0,0.0,0.0,0.0,"47,180",0.304,2.08,1.134
2024-04-04 00:00,3206259,5.17,6.11,2.4,4.88,2.67,2.78,0.86,0.0,0.0,4.0,0.0,0.0,0.0,"48,605",0.304,2.03,1.098
2024-04-05 00:00,3645244,5.21,6.18,2.36,4.87,2.68,2.79,0.84,0.0,0.0,4.04,0.0,0.0,0.0,"52,609",0.304,2.1,1.134
2024-04-06 00:00,4661891,5.13,6.16,2.25,4.71,2.64,2.74,0.8,0.0,0.0,4.01,0.0,0.0,0.0,"61,017",0.304,2.15,1.168
2024-04-07 00:00,4522341,5.05,6.05,2.25,4.72,2.58,2.68,0.8,0.0,0.0,3.94,0.0,0.0,0.0,"61,748",0.304,2.09,1.183
2024-04-08 00:00,3226322,5.25,6.21,2.41,4.91,2.67,2.78,0.84,0.0,0.0,4.08,0.0,0.0,0.0,"45,422",0.312,2.08,1.11
2024-04-09 00:00,3257132,5.58,6.22,2.36,4.75,2.64,2.77,0.85,0.0,0.0,4.42,0.0,0.0,0.0,"46,042",0.312,2.1,1.007
2024-04-10 00:00,3947509,5.66,6.39,2.25,4.63,2.69,2.81,0.81,0.0,0.0,4.53,0.0,0.0,0.0,"53,084",0.32,2.4,1.025
2024-04-11 00:00,3980432,5.65,6.4,2.28,4.7,2.69,2.8,0.81,0.0,0.0,4.48,0.0,0.0,0.0,"53,282",0.312,2.17,1.004
2024-04-12 00:00,3510793,5.45,6.15,2.27,4.65,2.56,2.68,0.81,0.0,0.0,4.33,0.0,0.0,0.0,"48,540",0.304,2.06,1.0
2024-04-13 00:00,4248796,5.31,6.04,2.18,4.5,2.48,2.59,0.76,0.0,0.0,4.24,0.0,0.0,0.0,"58,339",0.304,2.06,1.0
2024-04-14 00:00,4495869,5.29,6.03,2.17,4.48,2.48,2.59,0.75,0.0,0.0,4.22,0.0,0.0,0.0,"57,812",0.304,2.11,1.003
2024-04-15 00:00,3420596,5.4,6.06,2.22,4.54,2.53,2.64,0.77,0.0,0.0,4.29,0.0,0.0,0.0,"46,212",0.304,2.11,1.016
2024-04-16 00:00,3137781,5.36,6.0,2.28,4.53,2.51,2.62,0.81,0.0,0.0,4.24,0.0,0.0,0.0,"42,809",0.296,1.94,1.007
2024-04-17 00:00,3295940,5.38,6.07,2.32,4.61,2.54,2.65,0.81,0.0,0.0,4.25,0.0,0.0,0.0,"45,326",0.296,1.96,1.013
2024-04-18 00:00,3230903,5.42,6.13,2.37,4.68,2.55,2.67,0.84,0.0,0.0,4.28,0.0,0.0,0.0,"45,163",0.304,1.97,1.016
2024-04-19 00:00,3461678,5.53,6.25,2.4,4.69,2.61,2.73,0.87,0.0,0.0,4.36,0.0,0.0,0.0,"49,191",0.32,2.09,1.025
2024-04-20 00:00,4081148,5.39,6.16,2.35,4.59,2.53,2.64,0.83,0.0,0.0,4.27,0.0,0.0,0.0,"55,748",0.32,2.04,1.017
2024-04-21 00:00,4561906,5.31,6.09,2.32,4.57,2.5,2.61,0.81,0.0,0.0,4.2,0.0,0.0,0.0,"64,001",0.328,2.11,1.027
2024-04-22 00:00,3330070,5.5,6.14,2.42,4.83,2.57,2.69,0.86,0.0,0.0,4.35,0.0,0.0,0.0,"50,616",0.328,2.1,1.022
2024-04-23 00:00,3104138,5.59,6.17,2.48,4.92,2.6,2.72,0.9,0.0,0.0,4.4,0.0,0.0,0.0,"43,121",0.32,1.96,1.001
2024-04-24 00:00,3272037,5.54,6.13,2.45,4.84,2.58,2.7,0.88,0.0,0.0,4.35,0.0,0.0,0.0,"46,136",0.32,2.0,1.003
2024-04-25 00:00,3071454,5.55,6.21,2.47,4.84,2.58,2.7,0.89,0.0,0.0,4.37,0.0,0.0,0.0,"43,398",0.32,1.94,1.024
2024-04-26 00:00,3292545,5.55,6.29,2.48,4.81,2.6,2.72,0.89,0.0,0.0,4.37,0.0,0.0,0.0,"44,513",0.328,2.04,1.034
2024-04-27 00:00,3982786,5.46,6.22,2.43,4.71,2.54,2.66,0.84,0.0,0.0,4.33,0.0,0.0,0.0,"52,913",0.328,2.02,1.024
2024-04-28 00:00,4321871,5.35,6.14,2.4,4.7,2.49,2.6,0.83,0.0,0.0,4.24,0.0,0.0,0.0,"61,182",0.336,2.09,1.036
2024-04-29 00:00,3220766,5.61,6.33,2.55,4.94,2.59,2.71,0.9,0.0,0.0,4.43,0.0,0.0,0.0,"44,896",0.336,2.0,1.002
2024-04-30 00:00,3448590,5.8,6.58,2.55,4.94,2.71,2.83,0.87,0.0,0.0,4.57,0.0,0.0,0.0,"45,257",0.344,2.04,1.0
2024-05-01 00:00,3320851,5.69,6.45,2.58,4.96,2.64,2.76,0.89,0.0,0.0,4.49,0.0,0.0,0.0,"53,211",0.352,2.03,1.0
2024-05-02 00:00,3256679,5.68,6.45,2.6,5.02,2.67,2.79,0.91,0.0,0.0,4.44,0.0,0.0,0.0,"45,359",0.344,2.02,1.0
2024-05-03 00:00,3212379,5.57,6.37,2.54,4.89,2.57,2.69,0.87,0.0,0.0,4.41,0.0,0.0,0.0,"43,269",0.352,2.01,1.0
2024-05-04 00:00,4056702,5.43,6.29,2.46,4.76,2.54,2.66,0.84,0.0,0.0,4.3,0.0,0.0,0.0,"52,761",0.344,2.02,1.0
2024-05-05 00:00,3923930,5.33,6.18,2.46,4.72,2.5,2.61,0.84,0.0,0.0,4.2,0.0,0.0,0.0,"49,951",0.344,1.99,1.0
2024-05-06 00:00,3111748,5.53,6.28,2.56,4.85,2.58,2.69,0.88,0.0,0.0,4.36,0.0,0.0,0.0,"42,674",0.344,2.01,1.0
2024-05-07 00:00,3119364,5.53,6.22,2.52,4.84,2.57,2.68,0.87,0.0,0.0,4.37,0.0,0.0,0.0,"43,520",0.336,1.98,1.0
2024-05-08 00:00,3814374,5.54,6.33,2.43,4.77,2.59,2.7,0.81,0.0,0.0,4.45,0.0,0.0,0.0,"53,431",0.36,2.32,1.029
2024-05-09 00:00,3100384,5.38,6.08,2.48,4.75,2.52,2.63,0.84,0.0,0.0,4.28,0.0,0.0,0.0,"48,245",0.336,2.02,1.0
2024-05-10 00:00,3225054,5.5,6.21,2.51,4.77,2.57,2.68,0.85,0.0,0.0,4.35,0.0,0.0,0.0,"41,169",0.336,2.01,1.0
2024-05-11 00:00,3746233,5.45,6.17,2.48,4.75,2.54,2.65,0.84,0.0,0.0,4.32,0.0,0.0,0.0,"51,197",0.328,1.92,1.001
2024-05-12 00:00,3859131,5.39,6.14,2.45,4.68,2.48,2.6,0.83,0.0,0.0,4.28,0.0,0.0,0.0,"52,944",0.328,1.96,1.033
2024-05-13 00:00,3170071,5.53,6.32,2.55,4.88,2.58,2.7,0.88,0.0,0.0,4.37,0.0,0.0,0.0,"42,466",0.336,2.03,1.045
2024-05-14 00:00,3169859,5.49,6.34,2.54,4.89,2.57,2.68,0.87,0.0,0.0,4.34,0.0,0.0,0.0,"43,073",0.328,2.04,1.053
2024-05-15 00:00,3305285,5.54,6.36,2.53,4.87,2.58,2.7,0.82,0.0,0.0,4.38,0.0,0.0,0.0,"46,398",0.336,2.08,1.047
2024-05-16 00:00,3079159,5.62,6.47,2.71,4.96,2.73,2.85,0.92,0.0,0.0,4.32,0.0,0.0,0.0,"51,323",0.32,1.96,1.018
2024-05-17 00:00,3369965,5.59,6.39,2.54,4.75,2.69,2.81,0.89,0.0,0.0,4.37,0.0,0.0,0.0,"43,819",0.32,2.07,1.059
2024-05-18 00:00,4224049,5.39,6.22,2.4,4.6,2.58,2.69,0.84,0.0,0.0,4.26,0.0,0.0,0.0,"56,721",0.32,2.04,1.068
2024-05-19 00:00,4244133,5.3,6.11,2.37,4.53,2.49,2.6,0.82,0.0,0.0,4.18,0.0,0.0,0.0,"56,372",0.296,1.88,1.061
2024-05-20 00:00,3310222,5.48,6.22,2.46,4.64,2.56,2.68,0.86,0.0,0.0,4.31,0.0,0.0,0.0,"47,211",0.296,1.87,1.049
2024-05-21 00:00,3409355,5.44,6.12,2.41,4.58,2.55,2.67,0.85,0.0,0.0,4.26,0.0,0.0,0.0,"48,414",0.288,1.8,1.073
2024-05-22 00:00,3313272,5.47,6.14,2.4,4.56,2.57,2.69,0.87,0.0,0.0,4.29,0.0,0.0,0.0,"48,033",0.28,1.8,1.069
2024-05-23 00:00,3502678,5.44,6.16,2.38,4.54,2.57,2.69,0.86,0.0,0.0,4.27,0.0,0.0,0.0,"48,050",0.288,1.87,1.091
2024-05-24 00:00,3811179,5.5,6.19,2.32,4.46,2.6,2.71,0.84,0.0,0.0,4.35,0.0,0.0,0.0,"49,467",0.288,1.92,1.095
2024-05-25 00:00,4224715,5.37,6.07,2.27,4.37,2.52,2.63,0.83,0.0,0.0,4.24,0.0,0.0,0.0,"58,587",0.28,1.86,1.109
2024-05-26 00:00,4385104,5.31,5.99,2.27,4.35,2.5,2.61,0.82,0.0,0.0,4.2,0.0,0.0,0.0,"60,961",0.272,1.8,1.102
2024-05-27 00:00,4736376,5.16,5.85,2.24,4.36,2.43,2.54,0.8,0.0,0.0,4.07,0.0,0.0,0.0,"67,238",0.272,1.77,1.104
2024-05-28 00:00,3177760,5.38,6.1,2.39,4.54,2.55,2.67,0.9,0.0,0.0,4.19,0.0,0.0,0.0,"43,616",0.272,1.68,1.086
2024-05-29 00:00,3138975,5.29,6.05,2.4,4.56,2.55,2.67,0.91,0.0,0.0,4.08,0.0,0.0,0.0,"47,104",0.272,1.69,1.109
2024-05-30 00:00,3114116,5.26,6.01,2.38,4.55,2.53,2.64,0.92,0.0,0.0,4.03,0.0,0.0,0.0,"49,676",0.28,1.7,1.113
